ID;Category;Source;URLs;Title;PublicationDate;SoMePlatform;RetroSampleDate;RetroSampleCountry;JointMusicking;OrigCovidSong;OrigCovidLyrics;Movement;HealthInfo;Conflict;Country;Setting;Genre;Emotions;Features;FirstCoder;SecondCoder;Comments
85;video;GoogleSheet;https://nypost.com/video/new-yorker-singing-out-window-told-to-shut-the-f-up/?utm_source=facebook_sitebuttons;New Yorker singing out window told to ‘Shut the f--k up!’ - New York Post;27-03-2020;Facebook;NA;NA;0;0;0;0;0;1;USA;balcony, outdoors;opera;humour, anger;news report, news/  reaction;MT;JW;
86;video;GoogleSheet;https://www.youtube.com/watch?v=e0-2XxgHIXk, original poem: https://www.youtube.com/watch?v=sP40WX-nRcU;A covid-19 admonition explicit (STAY THE FUCK AT HOME)- Robert Emmett Kelly;28-03-2020;YouTube;NA;NA;0;1;1;0;1;1;USA;studio, home;pop, folk, oldies;humour, anger;NA;DS;NCH;
89;video;GoogleSheet;https://www.youtube.com/watch?v=ykieEE1j9eA;Supercalifragilisticexpialidocious (Danny Matarazzo);26-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home;soundtrack;humour;NA;MT;JW;
90;video;GoogleSheet;https://www.facebook.com/watch/?v=1595569340599962;"Hjemme-Eroica (""Eroica at Home"") with Danish National Chamber Orchestra";28-03-2020;Facebook;NA;NA;1;0;0;0;0;0;Denmark;home;classical; togetherness, hope;splitscreen, compilation;MT;DS;
91;video;GoogleSheet;https://www.youtube.com/watch?v=hJ_gorfparA;Vi sir´ nej corona (Danish home schooling music lesson);15-03-2020;YouTube;NA;NA;1;0;1;0;1;0;Denmark;home;children's music, pop;happiness, togetherness, resilience, hope;for kids;MT;DS;
92;video;GoogleSheet;https://twitter.com/FuerzasDelOrden/status/1239990077419388934?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1239990077419388934;Spanish police on Twitter;17-03-2020;Twitter;NA;NA;1;0;0;1;0;0;Spain;outdoors, street;pop;humour, happiness;NA;MT;JW;
93;video;GoogleSheet;https://www.instagram.com/p/B9ymryoqU0h/?utm_source=ig_embed;Italians dancing on Instagram;16-03-2020;Instagram;NA;NA;1;0;0;1;0;0;Italy;balcony, window;soundtrack/theme song, pop, oldies;togetherness, being moved, happiness, hope, nostalgia;compilation;MT;JV;
94;video;GoogleSheet;https://www.facebook.com/clemensknejterne/videos/230741074983120/;Clemens Knejterne - Vi holder sammen hver for sig - Danish song;18-03-2020;Facebook;NA;NA;1;1;1;0;0;0;Denmark;home;pop;humour, togetherness, being moved;choir, split sceen, splitscreen;MT;JW;
95;video;GoogleSheet;https://www.facebook.com/satiregruppenMAGT/videos/138755024202278/;MAGT - I Danmark er jeg født - Danish song;17-03-2020;Facebook;NA;NA;1;0;1;0;0;0;Denmark;home;folk, classical, choir;humour, togetherness, being moved;choir, split sceen, splitscreen;MT;JW;
96;video;GoogleSheet;https://www.facebook.com/satiregruppenMAGT/videos/885458495237161/;MAGT - Re-Sepp-ten mod Corona - Danish song for healthcare professionals;22-03-2020;Facebook;NA;NA;1;0;1;1;0;0;Denmark;home;soundtrack/theme song, pop;humour, pride;choir, split sceen, splitscreen, football music;MT;JV;
97;video;GoogleSheet;https://www.facebook.com/luketeutsch/videos/10219127160589066/;Day 3 of corona lockdown and no other musicians around the house.;19-03-2020;Facebook;NA;NA;0;0;0;0;0;0;USA;home;classical, pop;humour;NA;MT;DS;
98;video;GoogleSheet;https://www.youtube.com/watch?v=M5azNpTwVk8;Hello (from the Inside) An Adele Parody by Chris Mann;26-03-2020;YouTube;NA;NA;0;0;1;0;0;0;USA;home;pop;humour, boredom, frustration, loneliness;music video, video collage;MT;NCH;
99;video;GoogleSheet;https://www.facebook.com/regitzegofficialpage/videos/2836577396455865/;Her I Disse Krisetider // In These Times of Crisis - Regitze Glenthøj & Jens Hellemann;23-03-2020;Facebook;NA;NA;1;1;1;0;0;0;Denmark;outdoors;pop, folk, alternative;togetherness, happiness, being moved;music video;MT;JV, JB;
100;video;GoogleSheet;https://www.facebook.com/100000485844449/videos/4217308401628646/;QuaranTUNES video 2 - Dvorak New World Symphony on water glasses;27-03-2020;Facebook;NA;NA;0;0;0;0;0;0;USA;home;world, classical;humour, nostalgia;NA;MT;JV;
101;video;GoogleSheet;https://www.facebook.com/concertocopenhagen/videos/243081826847517/;Pachelbel Canon in D - Concert Copenhagen;27-03-2020;Facebook;NA;NA;1;0;0;0;0;0;Denmark;home;classical;togetherness, happiness;splitscreen, multitracked;MT;JB;
102;video;GoogleSheet;https://www.facebook.com/667493061/videos/10157024906798062/;My Corona - Michael Alexander William Catton;29-03-2020;Facebook;NA;NA;0;0;1;0;0;0;Denmark;home;rock, pop;humour, happiness;splitscreen;MT;JV;
104;video;GoogleSheet;https://www.facebook.com/watch/?v=253389975702974;Allison Davies – Every Little Cell;20-03-2020;Facebook;NA;NA;1;0;0;1;0;0;Australia;home, outdoors;pop, oldies;togetherness, happiness, being moved;compilation;MT;JW;
105;video;GoogleSheet;https://www.youtube.com/watch?v=PWRua6jGy5Y;Ndlovu Youth Choir – Wash Your Hands – Coronavirus Prevention;24-03-2020;YouTube;NA;NA;1;1;1;1;1;0;South Africa;outdoors;world, pop;happiness, togetherness;dance, music video;MT;DS;
106;video;GoogleSheet;https://www.youtube.com/watch?v=nmUXntGlqFI;“Stayin’ Inside” – Corona Virus Bee Gees Parody;22-03-2020;YouTube;NA;NA;1;0;1;0;1;0;USA;home, studio;soundtrack/theme song, disco, oldies, pop;humour, happiness;splitscreen;MT;DS;
107;video;GoogleSheet;https://www.facebook.com/watch/?v=519419822105041;The West Australia Social Distancing Orchestra – Bolero;16-03-2020;Facebook;NA;NA;1;0;0;0;0;0;Australia;home;classical;happiness, hopeful, togetherness;splitscreen;MT;JW;
108;video;GoogleSheet;https://www.youtube.com/watch?v=L0c3fz742PY;Erykah Badu Quarantine Concert Series Apocalypse Three Full Show;21-04-2020;YouTube;NA;NA;1;0;0;1;0;0;USA;venue, studio, home;neosoul, soul/R&B, dance/electronica, shoegazing;togetherness, excitement, fun, relaxation, peace;livestream, online concert;DS;JW;
109;video;GoogleSheet;https://www.instagram.com/p/B9zGkjipQ7a;Afrobysara - dancing in quarantine;16-03-2020;Instagram;NA;NA;1;0;0;1;0;0;Lebanon;home;dance/electronica;happiness;dance;MT;JV;
110;video;GoogleSheet;https://www.youtube.com/watch?v=3R6MQblm-MY;Unarmed HiHat - Britney Spears Toxic for Bassoon Choir;25-03-2020;YouTube;NA;NA;0;0;0;0;0;0;USA;home;pop;humour, exciting, happiness;splitscreen;MT;DS;
111;video;GoogleSheet;https://twitter.com/i/status/1243527284310540289;Polish police playing/dancing YMCA for children;27-03-2020;Twitter;NA;NA;1;0;0;1;0;0;Poland;outdoors;pop, disco, dance/electronic;happiness;dance;MT;JV;
112;video;GoogleSheet;https://www.youtube.com/watch?v=75bNNjMrOF4;Where have all the flowers gone (Fundraiser for Help Musicians, UK);29-06-2020;YouTube;NA;NA;1;0;0;0;0;0;UK;home;pop, folk, ballad, oldies;togetherness, being moved, grief/sadness;splitscreen;MT;JW;
113;video;GoogleSheet;https://www.youtube.com/watch?v=S9gwzFwYvY8;The Mary Wallopers - Home Boys Home;08-04-2020;YouTube;NA;NA;1;0;0;0;0;0;Ireland;outdoors, boat;folk, traditional irish;togetherness, happiness;promotional, music video;MT;JW;
114;video;GoogleSheet;https://www.youtube.com/watch?v=nNBtwsPigcc;An Ode to Joy;26-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Netherlands;home;classical;being moved, happiness;splitscreen, orchestra;MT;JW;
115;video;GoogleSheet;https://www.youtube.com/watch?v=ezZosUYlvMo;NYYS Orchestra | Michael Repper, Music Director | Mahler: Symphony No. 1, Mvmnt 2;27-03-2020;YouTube;NA;NA;1;0;0;0;0;0;USA;home;world, classical;happiness;splitscreen;MT;JV;
116;video;GoogleSheet;https://www.youtube.com/watch?v=XLOhOx7D4NA;British musicians play the recorder from balconies to empty the streets;29-03-2020;YouTube;NA;NA;1;0;0;0;1;1;UK;home, balcony;classical, classic, folk, opera;humour, irritation, anger;green screen overlayed on balconies;DS;NCH;
117;video;GoogleSheet;https://www.youtube.com/watch?v=Sj4pE_bgRQI;Bolero by Orchestre national de France;29-03-2020;YouTube;NA;NA;1;0;0;0;0;0;France;home;classical;happiness, hopeful, being moved, curious, togetherness;splitscreen, virtual ensemble, multitracked;MT;NCH, JB;
118;video;GoogleSheet;https://www.youtube.com/watch?v=z5CrScIHAuE;Germans sing Bella Ciao from rooftop in solidarity with Italy;30-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Germany;balcony;folk;togetherness, happiness, being moved;news report;MT;JB;
119;video;GoogleSheet;https://twitter.com/farnazfassihi/status/1235662251786465283;Iranian medical staff dance to keep spirits up;05-03-2020;Twitter;NA;NA;1;0;0;1;0;0;Iran;hospital;world;togetherness, happiness, being moved;splitscreen, dance, shouting;MT;NCH;
120;video;GoogleSheet;https://www.youtube.com/watch?v=BtulL3oArQw, https://www.youtube.com/watch?v=V9YirNgAzXI;"""Jealous Coronavirus"" music video from Vietnamese Health Dept. w/ English subtitles";23-02-2020;YouTube;NA;NA;1;1;1;1;1;0;Vietnam;animation, home;dance/electronica, pop;humour, togetherness, happiness;cartoon, animation;MT, JW;DS;
121;video;GoogleSheet;https://www.tiktok.com/@dohgovph/video/6800659566561381633?lang=en or https://twitter.com/DOHgovph/status/1235521471587299329?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed;Public health video with dance challenge from Department of Health, The Philippines;05-03-2020;TikTok, Twitter;NA;NA;1;1;1;1;1;0;The Philippines;workplace;pop;togetherness, happiness, encouraging;dance, choreography;MT;DS;
122;video;GoogleSheet;https://www.youtube.com/watch?v=7Se7Su6SOJc;Public health video with dance challenge from Bangkok Train Service, Thailand;05-03-2020;YouTube;NA;NA;1;1;1;1;1;0;Thailand;train station, office, bathroom, gym;pop, world;humour, happiness;dance, music video, video collage;MT;NCH;
124;video;GoogleSheet;https://www.instagram.com/p/B9FFVnigLEE/?utm_source=ig_embed, https://www.youtube.com/watch?v=OxYifqWm34M;Iranian theater actor, Danial Kheirikhah, 1-minute hand-washing video;27-02-2020;Instagram, YouTube;NA;NA;0;0;0;1;1;0;Iran;home, studio, white wall;classical;humour, being moved;black and white, parody, handwashing;MT;JV, JB;
126;video;GoogleSheet;https://www.facebook.com/peter.macpherson.31/videos/2876866039072950/UzpfSTUwMTY3MTY2NjoxMDE1ODE1MTU0MTI0NjY2Nw/;‘YESTERDAY- THE QUARANTINE PARODY’;29-03-2020;Facebook;NA;NA;0;0;1;0;0;0;UK;home;pop, oldies;humour, grief/sadness, togetherness;NA;MT, JW;DS;
128;video;GoogleSheet;https://www.youtube.com/watch?v=qLcblApIwzI;Hard Times Come Again No More - Self-Quarantine Edition;24-03-2020;YouTube;NA;NA;1;0;0;0;0;0;USA;home;country, folk;togetherness;splitscreen, multitracked;MT;JB;
129;video;GoogleSheet;https://www.youtube.com/watch?v=uY94yRpMsqk;Israelies all over the counrty give thanks to medical staff by clapping rhythmically and cheering. Title: Thank you from the balcony: Israel salutes the medical staff;19-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Israel;balcony;applause/cheering;gratitude, togetherness;splitscreen, news report, applause/cheering;MT;DS;
130;video;GoogleSheet;https://www.youtube.com/watch?v=nAFB2L_576w;"An Israeli song ""Shevet Achim"" played";16-03-2020;YouTube;NA;NA;1;0;0;1;0;0;Israel;balcony, outdoors;dance/electronica, world, folk;togetherness, happiness;NA;MT;JV, JB;
131;video;GoogleSheet;https://www.youtube.com/watch?v=VVic6C1nIpc;"An Israeli song ""Halev Shely"" (My heart"") played (Stuck at Home, Neighbors Join in Balcony Sing-a-Long)";16-03-2020;YouTube;NA;NA;1;0;0;1;0;0;Israel;balcony;world, pop, ballad;togetherness, happiness, being moved;news report;MT;DS;
132;video;GoogleSheet;https://www.youtube.com/watch?v=XZ3XsMRwGYs;DJ and Live music;16-03-2020;YouTube;NA;NA;1;0;0;1;0;0;Israel;balcony;dance/electronica;togetherness, happiness;dance, news report, balcony;MT;DS;
133;video;GoogleSheet;https://www.youtube.com/watch?v=CG9SlwHuw-k;Original Corona Song (Hebrew);24-03-2020;YouTube;NA;NA;1;1;1;0;0;0;Israel;outdoors;pop, children's music;humour, togetherness;NA;MT;JW;
134;video;GoogleSheet;https://www.youtube.com/watch?v=9xS_HTb8vNg;Original Corona Song in Six languages;22-03-2020;YouTube;NA;NA;1;1;1;1;0;0;Israel;home, outdoors, studio;pop;happiness, togetherness, hope;dance, compilation, splitscreen, music video;MT;DS;
136;video;GoogleSheet;https://www.facebook.com/kglteater/videos/519006629002282/UzpfSTcyMTc0NjE5NjoxMDE1ODIwMjc4NDA3MTE5Nw/;KGL Xtra // Kapellet spiller sammen hver for sig - The Royal Danish Orchestra;31-03-2020;Facebook;NA;NA;1;0;0;0;0;0;Denmark;home;classical;grief/sadness, longing;splitscreen;MT;DS;
137;video;GoogleSheet;https://www.facebook.com/LePompierPoneyClub/videos/2653476124933599/;"Le Pompier Poney Club plays ""Bad Guy vs PPC""";31-03-2020;Facebook;NA;NA;1;0;0;0;0;0;France;home;funk, jazz, brass band;happiness, humour;splitscreen;MT;NCH;
138;video;GoogleSheet;https://www.youtube.com/watch?v=9QUy7PYbRkE;Mucca Pazza sings War of Amusements;31-03-2020;YouTube;NA;NA;1;1;0;1;0;0;USA;home;classical, marching band;humour, happiness;choir, split sceen, splitscreen, for kids;MT;DS;
139;video;GoogleSheet;https://www.youtube.com/watch?v=8DXV4TUY1IM;Indonesian public health info on hand sanitizer using traditional arts;31-03-2020;YouTube;NA;NA;1;0;1;1;1;0;Indonesia;venue, traditional stage;world;togetherness, being moved;dance;MT;JW;
