ID;Category;Source;URLs;Title;cleanedTitle;MediaPlatform;MediaFormat;EmbeddedExternalVideo;PublicationDate;Country;Language;Setting;MusicMakerProfessionalism;Movement;HealthInfo;Conflict;Emotions;Features;FirstCoder;SecondCoder
548;media;GoogleSheet;https://www.vice.com/en_us/article/v749p3/theres-no-such-thing-s-independent-music-in-the-age-of-coronavirus;There's No Such Thing as Independent Music in the Age of Coronavirus;Theres No Such Thing as Independent Music in the Age of Coronavirus;Vice;writtenDigital;0;23-04-2020;USA;English;venue, online, home;prof;0;0;1;gratitude, grief/sadness, togetherness, frustration;cancellation, music industry;MT;NCH
549;media;GoogleSheet;https://firstfloor.substack.com/p/first-floor-30-the-scene-isnt-worth;The Scene Isn't Worth Saving (a.k.a. The COVID-19 crisis has exposed the rot in the electronic music industry. Let's tear it out.);The Scene Isnt Worth Saving aka The COVID crisis has exposed the rot in the electronic music industry Lets tear it out;First Floor;writtenDigital;0;25-03-2020;USA;English;online, venue;prof;0;0;1;grief/sadness, togetherness, anger;electronic music scene, festival;MT;DS
551;media;GoogleSheet;https://www.rollingstone.com/pro/features/music-merchandisers-fighting-coronavirus-pandemic-990652/;How Do You Sell Concert Tees Without Concerts? Merch Companies Are Up Against a Wall;How Do You Sell Concert Tees Without Concerts Merch Companies Are Up Against a Wall;Rolling Stone;writtenDigital;0;28-04-2020;USA;English;concert;prof;0;0;0;loneliness, grief/sadness;NA;MT;JV
552;media;GoogleSheet;https://www.billboard.com/articles/business/touring/9364903/live-from-out-there-ben-baruch-livestream-spotlight-interview;Live From Out There' Organizer Ben Baruch on Earning $300,000 for Artists via Livestreams;Live From Out There Organizer Ben Baruch on Earning  for Artists via Livestreams;Billboard;writtenDigital;0;28-04-2020;USA;English;home, online;prof;0;0;0;togetherness, fairness, pride;virtual concert, livestream, festival, virtual performance;MT;DS
553;media;GoogleSheet;https://www.stitcher.com/podcast/music-tectonics/e/69192239;Music Tectonics: More Communication, Less Consumption (Podcast);Music Tectonics More Communication Less Consumption Podcast;Stitcher;audio;0;28-04-2020;USA;English;online;prof;0;0;0;NA;podcast, music industry;MT;JV
554;media;GoogleSheet;https://theconversation.com/making-music-at-a-distance-how-to-come-together-online-to-spark-your-creativity-135141;Making music at a distance – how to come together online to spark your creativity;Making music at a distance  how to come together online to spark your creativity;The Conversation;writtenDigital;0;13-04-2020;Australia;English;home, online;amateur;0;0;0;togetherness;online music making;MT;JB
555;media;GoogleSheet;https://www.tennessean.com/story/news/2020/04/29/nashville-vanderbilt-blair-school-students-classical-music-elderly-coronavirus-covid-19/3032755001/;Want a classical music performance for your grandparents at home? Vanderbilt Blair School students can help;Want a classical music performance for your grandparents at home Vanderbilt Blair School students can help;Tennessean;writtenDigital;0;29-04-2020;USA;English;home, online;amateur;0;0;0;togetherness, happiness, being moved;virtual performance, old people;MT;JV
556;media;GoogleSheet;https://pitchfork.com/news/st-vincent-announces-new-shower-sessions-podcast/;St. Vincent Announces New Shower Sessions Podcast;St Vincent Announces New Shower Sessions Podcast;Pitchfork;writtenDigital;1;29-04-2020;USA;English;home, online;prof;0;0;0;humour, togetherness, happiness;podcast;MT;JV
557;media;GoogleSheet;https://www.spin.com/2020/04/billie-joe-armstrong-performs-an-italian-song-for-new-cover-series/;Billie Joe Armstrong Performs an Italian Song for New Cover Series;Billie Joe Armstrong Performs an Italian Song for New Cover Series;Spin;writtenDigital;1;30-04-2020;USA;English;home;prof;0;0;0;loneliness, happiness;music video;MT;JB
558;media;GoogleSheet;https://www.stereogum.com/2082972/drive-in-concert-denmark/news/;Concerts Are Back! (In Denmark, To Fans In Cars);Concerts Are Back In Denmark To Fans In Cars;Stereogum;writtenDigital;0;30-04-2020;USA;English;outside, venue, concert;prof;0;0;0;happiness, togetherness, onging, hope, togetherness;cinema, drive-in, live concert;MT;DS
