ID;Category;Source;URLs;Title;PublicationDate;SoMePlatform;RetroSampleDate;RetroSampleCountry;JointMusicking;OrigCovidSong;OrigCovidLyrics;Movement;HealthInfo;Conflict;Country;LyricsLanguage;Setting;Genre;Emotions;Features;FirstCoder;SecondCoder
122;video;GoogleSheet;https://www.youtube.com/watch?v=7Se7Su6SOJc;Public health video with dance challenge from Bangkok Train Service, Thailand;05-03-2020;YouTube;NA;NA;1;1;1;1;1;0;Thailand;thai;train station, transport, office, workplace, bathroom, gym;pop, world;humour, happiness;dance, music video;MT;NCH
1029;video;Retrospective;https://www.youtube.com/watch?v=cgnBQ9qOqmY;"Coronavirus Parody ""STUPID COUGH"" (Lady Gaga ""Stupid Love"" PARODY)";05-03-2020;YouTube;05-03-2020;Denmark;0;0;1;1;0;0;The Philippines;english;outside, home, street, office, gym, restaurant, workplace;pop;humour, fun, togetherness, happiness;parody, music video, lyric video;JW;DS
1030;video;Retrospective;https://www.youtube.com/watch?v=Mt51X2cc_H0;Alvi Ananta - Corona (COVID-19) - (Official Music Video);05-03-2020;YouTube;05-03-2020;Denmark;1;1;1;0;0;1;Indonesia;indonesian;studio;pop, dance/electronica, world, traditional indonesian;anxiety, being moved, fear;music video, lyric video;JW;DS
45;video;GoogleSheet;https://www.youtube.com/watch?v=NR21Am5YM2U;Au Vietnam, un challenge de dance contre le coronavirus;06-03-2020;YouTube;NA;NA;1;1;1;1;1;0;Vietnam;vietnamese;outside, animation;dance/electronica, pop;happiness;dance, compilation, animation;MT;JV
1031;video;Retrospective;https://www.youtube.com/watch?v=Idc2mkS-QLk;BLIJF IN UW KOT - MAGGIE THE BLOCK ;06-03-2020;YouTube;06-03-2020;Italy;0;1;1;0;1;0;Belgium;flemish;meeting room, office, workplace;dance/electronica;humour;remix, speech, autotune, politicians;JV;JB
1032;video;Retrospective;https://www.youtube.com/watch?v=ACLETli2Ppg;Goodnight (ireland) Corona virus song!!;06-03-2020;YouTube;06-03-2020;UK;0;0;1;0;0;1;Ireland;english;home, studio;pop, oldies;humour, frustration, anger;NA;JV;JB
1033;video;Retrospective;https://www.youtube.com/watch?v=aZoQpm5Ql-0;Coronavirus by Morning (The Coronavirus Song);06-03-2020;YouTube;06-03-2020;USA;0;0;1;0;0;0;USA;english;home;country;humour, sadness;NA;JV;JB
1034;video;Retrospective;https://www.youtube.com/watch?v=CmS6pKLe6e4;Coronavirus-Lied;06-03-2020;YouTube;06-03-2020;USA;0;0;1;0;1;0;Germany;german;transport, train, workplace;pop;humour, happiness;still, lyric video;JV;JB
1035;video;Retrospective;https://www.youtube.com/watch?v=Y2WLIz4CCdQ;Punjabi Corona Song;07-03-2020;YouTube;07-03-2020;USA;0;1;1;0;0;0;India;punjabi;animation;rap/hip-hop, dance/electronica, world, reggae;relaxed;instrumental, still;JB;JW
1036;video;Retrospective;https://www.youtube.com/watch?v=p77Rt1MCpfc;Corona song;07-03-2020;YouTube;07-03-2020;USA;0;0;1;0;0;0;Slovakia;slovak;home;pop;humour;NA;JB;JW
